Train on 370515 samples, validate on 123506 samples
Epoch 1/1
113696/370515 [========>.....................] - ETA: 31s - loss: 1.2631
114208/370515 [========>.....................] - ETA: 31s - loss: 1.2586
114784/370515 [========>.....................] - ETA: 31s - loss: 1.2528
115232/370515 [========>.....................] - ETA: 31s - loss: 1.2489
115840/370515 [========>.....................] - ETA: 30s - loss: 1.2431
116448/370515 [========>.....................] - ETA: 30s - loss: 1.2376
117024/370515 [========>.....................] - ETA: 30s - loss: 1.2326
117568/370515 [========>.....................] - ETA: 30s - loss: 1.2287
118144/370515 [========>.....................] - ETA: 30s - loss: 1.2235
118624/370515 [========>.....................] - ETA: 30s - loss: 1.2194
119200/370515 [========>.....................] - ETA: 30s - loss: 1.2147
119616/370515 [========>.....................] - ETA: 30s - loss: 1.2110
120224/370515 [========>.....................] - ETA: 30s - loss: 1.2059
120864/370515 [========>.....................] - ETA: 30s - loss: 1.2010
121472/370515 [========>.....................] - ETA: 29s - loss: 1.1960
121824/370515 [========>.....................] - ETA: 29s - loss: 1.1933
122400/370515 [========>.....................] - ETA: 29s - loss: 1.1883
123008/370515 [========>.....................] - ETA: 29s - loss: 1.1831
123520/370515 [=========>....................] - ETA: 29s - loss: 1.1793
123840/370515 [=========>....................] - ETA: 29s - loss: 1.1769
124352/370515 [=========>....................] - ETA: 29s - loss: 1.1732
124928/370515 [=========>....................] - ETA: 29s - loss: 1.1687
125504/370515 [=========>....................] - ETA: 29s - loss: 1.1639
125888/370515 [=========>....................] - ETA: 29s - loss: 1.1605
126464/370515 [=========>....................] - ETA: 29s - loss: 1.1559
127072/370515 [=========>....................] - ETA: 29s - loss: 1.1518
127680/370515 [=========>....................] - ETA: 28s - loss: 1.1471
128064/370515 [=========>....................] - ETA: 28s - loss: 1.1444
128544/370515 [=========>....................] - ETA: 28s - loss: 1.1411
129056/370515 [=========>....................] - ETA: 28s - loss: 1.1381
129696/370515 [=========>....................] - ETA: 28s - loss: 1.1337
130080/370515 [=========>....................] - ETA: 28s - loss: 1.1309
130688/370515 [=========>....................] - ETA: 28s - loss: 1.1261
131296/370515 [=========>....................] - ETA: 28s - loss: 1.1220
131872/370515 [=========>....................] - ETA: 28s - loss: 1.1180
132320/370515 [=========>....................] - ETA: 28s - loss: 1.1148
132928/370515 [=========>....................] - ETA: 28s - loss: 1.1108
133504/370515 [=========>....................] - ETA: 27s - loss: 1.1068
134080/370515 [=========>....................] - ETA: 27s - loss: 1.1028
134496/370515 [=========>....................] - ETA: 27s - loss: 1.1000
135072/370515 [=========>....................] - ETA: 27s - loss: 1.0955
135648/370515 [=========>....................] - ETA: 27s - loss: 1.0915
136256/370515 [==========>...................] - ETA: 27s - loss: 1.0878
136736/370515 [==========>...................] - ETA: 27s - loss: 1.0846
137248/370515 [==========>...................] - ETA: 27s - loss: 1.0813
137856/370515 [==========>...................] - ETA: 27s - loss: 1.0776
138432/370515 [==========>...................] - ETA: 27s - loss: 1.0744
138816/370515 [==========>...................] - ETA: 27s - loss: 1.0724
139264/370515 [==========>...................] - ETA: 27s - loss: 1.0702
139840/370515 [==========>...................] - ETA: 27s - loss: 1.0665
140416/370515 [==========>...................] - ETA: 26s - loss: 1.0634
140704/370515 [==========>...................] - ETA: 26s - loss: 1.0614
141152/370515 [==========>...................] - ETA: 26s - loss: 1.0585
141792/370515 [==========>...................] - ETA: 26s - loss: 1.0549
142368/370515 [==========>...................] - ETA: 26s - loss: 1.0518
142880/370515 [==========>...................] - ETA: 26s - loss: 1.0491
143424/370515 [==========>...................] - ETA: 26s - loss: 1.0460
143968/370515 [==========>...................] - ETA: 26s - loss: 1.0433
144480/370515 [==========>...................] - ETA: 26s - loss: 1.0406
144896/370515 [==========>...................] - ETA: 26s - loss: 1.0386
145504/370515 [==========>...................] - ETA: 26s - loss: 1.0360
146112/370515 [==========>...................] - ETA: 26s - loss: 1.0333
146688/370515 [==========>...................] - ETA: 26s - loss: 1.0304
147072/370515 [==========>...................] - ETA: 26s - loss: 1.0289
147616/370515 [==========>...................] - ETA: 25s - loss: 1.0260
148192/370515 [==========>...................] - ETA: 25s - loss: 1.0225
148736/370515 [===========>..................] - ETA: 25s - loss: 1.0196
149088/370515 [===========>..................] - ETA: 25s - loss: 1.0175
149440/370515 [===========>..................] - ETA: 25s - loss: 1.0154
149984/370515 [===========>..................] - ETA: 25s - loss: 1.0132
150592/370515 [===========>..................] - ETA: 25s - loss: 1.0104
151008/370515 [===========>..................] - ETA: 25s - loss: 1.0080
151616/370515 [===========>..................] - ETA: 25s - loss: 1.0047
152224/370515 [===========>..................] - ETA: 25s - loss: 1.0018
152832/370515 [===========>..................] - ETA: 25s - loss: 0.9992
153216/370515 [===========>..................] - ETA: 25s - loss: 0.9974
153696/370515 [===========>..................] - ETA: 25s - loss: 0.9951
154272/370515 [===========>..................] - ETA: 25s - loss: 0.9921
154912/370515 [===========>..................] - ETA: 24s - loss: 0.9887
155296/370515 [===========>..................] - ETA: 24s - loss: 0.9875
155936/370515 [===========>..................] - ETA: 24s - loss: 0.9847
156544/370515 [===========>..................] - ETA: 24s - loss: 0.9816
157120/370515 [===========>..................] - ETA: 24s - loss: 0.9795
157664/370515 [===========>..................] - ETA: 24s - loss: 0.9770
158272/370515 [===========>..................] - ETA: 24s - loss: 0.9739
158848/370515 [===========>..................] - ETA: 24s - loss: 0.9712
159360/370515 [===========>..................] - ETA: 24s - loss: 0.9686
159808/370515 [===========>..................] - ETA: 24s - loss: 0.9664
160352/370515 [===========>..................] - ETA: 24s - loss: 0.9636
160992/370515 [============>.................] - ETA: 24s - loss: 0.9609
161568/370515 [============>.................] - ETA: 23s - loss: 0.9588
161952/370515 [============>.................] - ETA: 23s - loss: 0.9574
162528/370515 [============>.................] - ETA: 23s - loss: 0.9550
163104/370515 [============>.................] - ETA: 23s - loss: 0.9524
163712/370515 [============>.................] - ETA: 23s - loss: 0.9494
164224/370515 [============>.................] - ETA: 23s - loss: 0.9473
164768/370515 [============>.................] - ETA: 23s - loss: 0.9445
165312/370515 [============>.................] - ETA: 23s - loss: 0.9418
165920/370515 [============>.................] - ETA: 23s - loss: 0.9394
166304/370515 [============>.................] - ETA: 23s - loss: 0.9375
166944/370515 [============>.................] - ETA: 23s - loss: 0.9345
167520/370515 [============>.................] - ETA: 23s - loss: 0.9321
168096/370515 [============>.................] - ETA: 23s - loss: 0.9301
168544/370515 [============>.................] - ETA: 23s - loss: 0.9280
169152/370515 [============>.................] - ETA: 22s - loss: 0.9252
169600/370515 [============>.................] - ETA: 22s - loss: 0.9232
170240/370515 [============>.................] - ETA: 22s - loss: 0.9206
170592/370515 [============>.................] - ETA: 22s - loss: 0.9195
171200/370515 [============>.................] - ETA: 22s - loss: 0.9165
171840/370515 [============>.................] - ETA: 22s - loss: 0.9140
172448/370515 [============>.................] - ETA: 22s - loss: 0.9114
172832/370515 [============>.................] - ETA: 22s - loss: 0.9100
173408/370515 [=============>................] - ETA: 22s - loss: 0.9075
174048/370515 [=============>................] - ETA: 22s - loss: 0.9053
174624/370515 [=============>................] - ETA: 22s - loss: 0.9034
175136/370515 [=============>................] - ETA: 22s - loss: 0.9014
175584/370515 [=============>................] - ETA: 22s - loss: 0.8998
176192/370515 [=============>................] - ETA: 21s - loss: 0.8975
176768/370515 [=============>................] - ETA: 21s - loss: 0.8950
177120/370515 [=============>................] - ETA: 21s - loss: 0.8937
177664/370515 [=============>................] - ETA: 21s - loss: 0.8919
178240/370515 [=============>................] - ETA: 21s - loss: 0.8895
178816/370515 [=============>................] - ETA: 21s - loss: 0.8873
